_id,캠프 이름,상세설명1,상세설명2,상세설명3,상세설명4,상세설명5,상세설명6,상세설명7,상세설명8,상세설명9
4,(주)디노담양힐링파크지점,전남담양군봉산면탄금길9-26,061-383-5155,호수/민간,"일반야영장,카라반,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"운동장,강/물놀이,농어촌체험시설"
9,(주)쉐르빌리안티티,강원홍천군서면밤벌길19번길111,033-435-1199,"산,강/민간",글램핑,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
10,(주)아웃오브파크,강원도춘천시남면가옹개길52-9,1522-1861-,"산,강/민간",카라반,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,수영장
11,(주)양촌여울체험캠프,경상남도창원시마산합포구진전면의산삼일로60,055-271-2012,"산,숲/지자체","일반야영장,자동차야영장","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"산책로,농어촌체험시설"
12,(주)어반슬로우시티,강원도춘천시남면가옹개길108,1899-9349-,/민간,"자동차야영장,글램핑","봄,여름,가을",평일+주말,,,
16,이스케이프지점(휴토피아),강원도홍천군서면어유포리282-8,1599-7130-,"숲,강/민간",글램핑,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인예약대기,"산책로,어린이놀이시설"
17,드림랜드오토캠핑장,경북영천시고경면고도길38,054-335-4500,"산,계곡/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,강/물놀이",
18,(주)자연인,제주특별자치도제주시아란서길110-0,064-723-7500,숲/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,
21,(주)태평소금천일염힐링캠프,전라남도신안군증도면지도증도로1053-11,061-275-1596,섬/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,낚시,해수욕,청소년체험시설",
28,505펜션&캠핑(오공오),충남공주시사곡면호계황골길43,010-7330-2505,숲/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,온라인실시간예약,"계곡물놀이,낚시",
29,80SS오토캠핑장,경북군위군부계면남산리1138-4번지,054-382-0007,숲/민간,"일반야영장,자동차야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,산책로
31,A&J오토캠핑장,강원도원주시지정면안창리산56-3,033-733-7770,/민간,자동차야영장,홈페이지바로가기새창으로,전화,,,
36,Camp1950by민들레울,김천시대덕면남김천대로160,055-942-5006,숲/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,어린이놀이시설",,
37,CLUB596,충남태안군남면몽산리596,010-8885-8592,해변/민간,"일반야영장,글램핑","봄,여름,가을",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,수상레저,낚시,해수욕"
38,DMZ마루캠핑,경기도연천군중면군중로399,010-7935-6355,강/민간,자동차야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,"계곡물놀이,낚시,청소년체험시설",
39,DMZ캠핑장,강원도철원군철원읍독서당길225-134DMZ캠핑장,010-4761-7283,"산,계곡/민간",자동차야영장,"봄,여름,가을",평일+주말,계곡물놀이,,
42,F1오토캠핑장,전라남도영암군삼호읍삼포리1894,070-4227-7788,해변/지자체,일반야영장,"봄,여름,가을",주말,홈페이지바로가기새창으로,,
47,JB캠핑하우스,경기파주시적성면감악산로1270-74JB캠핑하우스,"031-958-9919,010-3403-1773",/민간,자동차야영장,평일+주말,홈페이지바로가기새창으로,온라인실시간예약,,
51,NajostCamp(나조스트캠프),강원영월군김삿갓면김삿갓로638,"033-375-3215,010-4411-5087",계곡/민간,일반야영장,"봄,여름,가을",평일+주말,홈페이지바로가기새창으로,전화,계곡물놀이
56,THATSCAMPING횡성자연휴양림야영장,강원도횡성군갑천면정포로430번길113THATSCAMPING횡성자연휴양림야영장,033-344-3391,산/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"산책로,강/물놀이"
57,TheStar오토캠핑장,전남여수시돌산읍상하동길268,"061-641-1490,010-3642-1490","해변,섬,숲/민간","일반야영장,자동차야영장,카라반","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,낚시,해수욕,청소년체험시설",
59,VIP레저타운,강원도원주시지정면지정로1393,031-774-7771,/민간,자동차야영장,홈페이지바로가기새창으로,전화,,,
60,VIP오토캠핑장,경상남도밀양시단장면고례리1408-5,010-3878-2927,"산,계곡/민간",자동차야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,온라인실시간예약,"계곡물놀이,농어촌체험시설"
61,W글램핑,경상남도산청군산청읍내리259-5,"055-974-3642,010-2929-3641",강/민간,"일반야영장,글램핑","봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"수상레저,어린이놀이시설"
62,YC글램핑,경기연천군미산면청정로1049,010-5097-6446,/민간,일반야영장,홈페이지바로가기새창으로,전화,,,
63,YELLOWHILL,강원도춘천시동산면종자리로224-24,033-262-5656,/민간,자동차야영장,현장,,,,
66,㈜씨스테이야영장,인천광역시옹진군영흥면내리1212-52,010-9076-3801,섬/민간,자동차야영장,"봄,여름,가을",평일+주말,,,
67,(주)제주글램핑,제주특별자치도제주시구좌읍덕천리1288-2,064-784-3200,"산,숲/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,,
69,가람관광농원,경남합천군봉산면인덕로930,010-9704-2582,"산,숲,호수/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,수상레저,
70,가래골농원캠핑장,경기도포천시창수면추동리821,"031-533-7410,010-9031-7410","산,숲/민간",일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,"산책로,강/물놀이,농어촌체험시설",
71,가루실캠프,충청남도예산군덕산면둔리525-34,010-5431-9613,숲/민간,일반야영장,"봄,여름,가을,겨울",평일+주말,홈페이지바로가기새창으로,전화,"계곡물놀이,산책로,낚시,어린이놀이시설"
