_id,글램핑 내부시설,기타 부대시설,기타 정보,기타 주변이용가능시설,문의처,바닥형태 (단위:면),사이트 간격,사이트 크기,안전시설현황,예약방법,운영기간,운영일,주변이용가능시설,주소,주요시설,카라반 내부시설,캠프 이름,캠핑장 유형,캠핑장 환경,캠핑장비대여,홈페이지,화로대
4,"침대
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-383-5155,테크 (24),,"4 X 6 : 13개
6 X 7 : 11개",소화기 (20) 방화수 (2) 방화사 (1) 화재감지기 (24),전화,"봄,여름,가을,겨울",평일+주말,"운동장,강/물놀이,농어촌체험시설",전남담양군봉산면탄금길9-26,일반야영장(2면) 글램핑시설(22면) 카라반(2면),"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",(주)디노담양힐링파크지점,"일반야영장,카라반,글램핑",호수/민간,,홈페이지바로가기새창으로,개별
9,"침대
TV
에어컨
냉장고
난방기구","반려견 놀이터, 반려견 수영장, 탁구장, 족구장, 노래방",반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-435-1199,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,강원홍천군서면밤벌길19번길111,글램핑시설(18면),,(주)쉐르빌리안티티,글램핑,"산,강/민간",,홈페이지바로가기새창으로,개별
10,,"수영장, 노래방, 찜질방, 카페, 중앙 무대, 분수",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,1522-1861-,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,수영장,강원도춘천시남면가옹개길52-9,카라반(40면),"침대
TV
에어컨
냉장고
난방기구
취사도구
내부화장실",(주)아웃오브파크,카라반,"산,강/민간",,홈페이지바로가기새창으로,개별
11,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-271-2012,"파쇄석 (26)
테크 (12)",3M,,,전화,"봄,여름,가을,겨울",평일+주말,"산책로,농어촌체험시설",경상남도창원시마산합포구진전면의산삼일로60,일반야영장(38면),,(주)양촌여울체험캠프,"일반야영장,자동차야영장","산,숲/지자체",,홈페이지바로가기새창으로,개별
12,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,1899-9349-,,,,,,"봄,여름,가을",평일+주말,,강원도춘천시남면가옹개길108,,,(주)어반슬로우시티,"자동차야영장,글램핑",/민간,,,개별
16,"침대
TV
에어컨
냉장고
난방기구
취사도구
내부화장실","단체 바비큐장, 계곡",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,1599-7130-,,,,,온라인예약대기,"봄,여름,가을,겨울",평일+주말,"산책로,어린이놀이시설",강원도홍천군서면어유포리282-8,글램핑시설(17면),,이스케이프지점(휴토피아),글램핑,"숲,강/민간",,홈페이지바로가기새창으로,개별
17,,"찜질방, 불가마, 예식장, 식당",개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-335-4500,파쇄석 (135),,10 X 10 : 135개,소화기 (15) 화재감지기 (10),,"봄,여름,가을,겨울",평일+주말,"산책로,강/물놀이",경북영천시고경면고도길38,일반야영장(135면) 자동차야영장사이트(135면),,드림랜드오토캠핑장,일반야영장,"산,계곡/민간","텐트
릴선
화로대
난방기구
식기",홈페이지바로가기새창으로,공동취사장
18,침대 TV 에어컨 냉장고 유무선인터넷 난방기구,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,064-723-7500,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,제주특별자치도제주시아란서길110-0,글램핑시설(20면),,(주)자연인,"일반야영장,글램핑",숲/민간,,홈페이지바로가기새창으로,
21,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-275-1596,"파쇄석 (6)
테크 (3)",3M,6 X 6 : 9개,"소화기 (20)
화재감지기 (10)",,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,해수욕,청소년체험시설",전라남도신안군증도면지도증도로1053-11,일반야영장(9면) 카라반(10면),"침대
TV
에어컨
냉장고
난방기구
취사도구
내부화장실",(주)태평소금천일염힐링캠프,일반야영장,섬/민간,화로대,홈페이지바로가기새창으로,개별
28,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-7330-2505,파쇄석 (22),3M,,소화기 (40),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,낚시",충남공주시사곡면호계황골길43,일반야영장(22면),,505펜션&캠핑(오공오),일반야영장,숲/민간,"릴선
난방기구",,개별
