_id,리뷰수,장소,캠핑장이름,평점
1,187,서울 마포구 한강난지로 22 한강시민공원,난지캠핑장,3.5
2,63,경기 남양주시 화도읍 북한강로 1630-18,더드림핑,2.9
3,146,경남 합천군 가회면 황매산공원길 331,황매산 제1오토캠핑장,4.8
4,159,강원 강릉시 연곡면 해안로 1282,연곡해변 솔향기캠핑장,4.3
5,83,경기 가평군 가평읍 자라섬로 60,자라섬캠핑장,3.8
6,60,대전 대덕구 대청로424번길 200,대청호 로하스 캠핑장,3.2
7,195,경기 화성시 서신면 해안길 64,글램비글램핑,2.5
8,168,충남 공주시 반포면 동학사1로 46,파크오브드림,4.3
9,264,경기 이천시 이섭대천로941번길 49-44,인디어라운드,3.5
10,61,경기 연천군 전곡읍 전곡리 696-16,한탄강관광지 오토캠핑장,3.2
11,103,경기 파주시 파평면 파평산로363번길 32-9,동화힐링캠프,3.6
12,33,경기 의왕시 왕송못동로 295,의왕시왕송호수캠핑장,2.3
13,61,강원 삼척시 근덕면 삼척로 2116,장호비치캠핑장,3.8
14,41,경기 파주시 문산읍 마정리 613-1,평화누리캠핑장,4.5
15,45,경기 광명시 밤일안로42번길 69,광명도덕산캠핑장,4.5
16,24,강원 영월군 무릉도원면 무릉법흥로 740,솔밭캠프장,2.3
17,87,세종특별자치시 전동면 깊은내길 213,다온숲,3.2
18,70,경기 여주시 연양동 304-3,금은모래캠핑장,3.9
19,116,경기 평택시 고덕면 새악길 43-42,평택소풍정원 캠핑장,4.2
20,30,경남 거제시 동부면 거제대로 981,한려해상국립공원 학동야영장,4.3
21,48,경남 밀양시 하남읍 백산리 474-32,밀양아리랑 오토캠핑장,4.5
22,17,충남 태안군 남면 몽산포길 63-43,몽산포자동차야영장,4.3
23,29,광주 남구 승촌동 598,승촌보캠핑장,2.8
24,96,충남 태안군 소원면 모항파도로 398-70,어은돌오토캠핑장,3.9
25,94,충남 태안군 이원면 꾸지나무길 37-76,태안둘레길캠핑장,4.5
26,70,부산 강서구 대저1동 1-5,대저캠핑장,4.4
27,39,전북 무주군 설천면 백련사길 2,덕유대야영장,4.1
28,51,서울 노원구 마들로5길 89-27,초안산공원 캠핑장,3.3
29,69,대구 달서구 앞산순환로 248,달서별빛캠프캠핑장,4.3
30,48,경남 고성군 회화면 당항만로 947,라파엘펜션글램핑,5
31,39,서울 강동구 천호대로206길 87 일자산자연공원내,강동그린웨이 가족캠핑장,3.7
32,13,경기 김포시 하성면 월하로912번길 64,김포한강오토캠핑장,2.9
33,26,경기 연천군 연천읍 현문로508번길 140,연천재인폭포 오토캠핑장,4.6
34,102,서울 도봉구 도봉로169길 249,무수아취,4.3
35,19,강원 강릉시 연곡면 소금강길 449,소금강산야영장,4
36,115,경기 포천시 화현면 명덕리 193-4,파인벨리글램핑,2.6
37,35,강원 동해시 동해대로 6270-14,망상제2오토캠핑장,3.6
38,6,강원 화천군 화천읍 비수구미길 145-145,평화의댐 오토캠핑장,3.8
39,83,충북 충주시 동량면 호반로 696-1,충주호캠핑월드,2.4
40,45,경기 양주시 만송로366번길 215-29,휴리조트,4.1
41,48,부산 사상구 삼락동 29-59,삼락생태공원 오토캠핑장,3.3
42,17,강원 원주시 신림면 소야1길 72,피노키오캠핑장,2.8
43,46,경기 연천군 왕징면 왕산로218번길 61,알멕스랜드,4.3
44,20,경기 포천시 화현면 금강로 3806-80,캠프운악,4.1
45,39,강원 화천군 간동면 배후령길 1144,국립화천숲속야영장,4.6
46,42,경기 김포시 월곶면 용강로 325,김포캠핑파크,2.9
47,42,경기 수원시 영통구 광교호수로 57,광교호수공원 가족캠핑장,3.8
48,9,충북 제천시 한수면 미륵송계로 1625,송계자동차야영장,4.3
49,60,인천 중구 큰말로 25,영종씨사이드캠핑장,1.5
50,33,강원 양양군 손양면 송평길 38,양양솔밭가족캠프촌,3.4
51,40,경기 용인시 기흥구 동탄기흥로785번길 21-5,캠프레이크,2.1
52,33,경남 양산시 물금읍 낙동로 295-19,황산캠핑장,4.3
53,65,경기 연천군 미산면 어삼로 391-81,나린오토캠핑장,2.8
54,12,경기 가평군 북면 백둔로 441,연인산다목적캠핑장,5
55,50,강원 동해시 추암동 1,추암오토캠핑장,4
56,31,경북 영주시 풍기읍 삼가로 509,소백산국립공원 삼가야영장,5
