"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),표본수,문화유적방문,자연명승,삼림욕,국내캠핑,해외여행,소풍/야유회,온천/해수욕,유람선 타기,테마파크가기,지역축제참가,자동차 드라이브,표본수,문화유적방문,자연명승,삼림욕,국내캠핑,해외여행,소풍/야유회,온천/해수욕,유람선 타기,테마파크가기,지역축제참가,자동차 드라이브,표본수,문화유적방문,자연명승,삼림욕,국내캠핑,해외여행,소풍/야유회,온천/해수욕,유람선 타기,테마파크가기,지역축제참가,자동차 드라이브,표본수,문화유적방문,자연명승,삼림욕,국내캠핑,해외여행,소풍/야유회,온천/해수욕,유람선 타기,테마파크가기,지역축제참가,자동차 드라이브,표본수,문화유적방문,자연명승,삼림욕,국내캠핑,해외여행,소풍/야유회,온천/해수욕,유람선 타기,테마파크가기,지역축제참가,자동차 드라이브
"전체",소계,10602,5.6,11,6.8,10.8,21.5,4.5,7.3,2.2,7.4,6.7,3.9,10498,5.4,12.1,6.2,9.4,16.7,4.9,7.7,2.2,7.6,10.1,5.6,10060,4.9,20.8,5.2,9.5,14,4.1,5.2,1.3,7.6,6.2,6.3,10088,7,19.4,5.7,12.3,10.2,4.4,5.3,1.4,6.3,5.2,9.5,10049,6,19.8,5.2,15.5,10.2,3.8,3.4,0.8,4.9,3.5,10.7
"성별",남성,5179,5.5,10.6,6.9,12.5,20.8,4.2,6.1,1.6,7.5,6.7,5,5263,5.2,12.3,5.8,11.1,15.9,4.2,6.7,1.6,7.7,10.4,6.6,5028,4.8,20.3,5.2,11.5,13.7,3.6,3.9,1.5,6.6,5.5,7.4,5003,6,19.4,5.6,13.6,9.7,4,3.9,1.4,6,5.7,11.4,4972,5.6,19.2,4.9,17.9,9.8,3.6,2.4,0.9,4.5,3.4,12
"성별",여성,5423,5.6,11.3,6.7,9.1,22.2,4.9,8.6,2.7,7.4,6.8,2.9,5235,5.6,11.9,6.6,7.7,17.5,5.7,8.7,2.8,7.5,9.9,4.6,5032,5,21.3,5.1,7.6,14.4,4.6,6.5,1,8.7,6.8,5.2,5085,8,19.5,5.7,11,10.7,4.7,6.6,1.4,6.5,4.8,7.6,5077,6.3,20.3,5.5,13.2,10.6,4.1,4.3,0.7,5.3,3.6,9.4
"연령별",15~19세,827,3.6,6.2,2.3,14.4,17.9,6.7,2.9,2.6,19.2,5.9,2.4,696,3.8,6.7,1.4,10.1,14,8.3,2.7,2.5,22.3,7.2,1.4,661,1.6,9.5,1,10.8,15.2,4.7,2.4,1.6,30.1,5,1.5,619,4.9,13.9,1.9,14.7,8.8,4.4,2.7,2.8,18,3.1,6,588,4.1,11.8,1.4,24,9.6,4.7,0.8,0.6,15,2.3,5.1
"연령별",20대,1476,3.1,7.9,3.3,16.3,25.9,5.7,3.5,1.8,13.7,3.4,5.3,1458,3.4,7.8,4.6,11.9,21.2,4.6,5.1,1.2,14.8,8,8.4,1468,2.7,13.6,1.8,15.7,18.3,3.9,1.6,1.1,14.1,2.7,9.9,1536,4,16.1,3.1,18,15.2,3.7,1.8,2,10.5,2.7,11.5,1512,3,14.4,3.1,23.6,14.6,2.9,1.1,0.6,9.3,2,11.9
"연령별",30대,1707,5.3,9.6,5.9,14.4,24.8,4.1,6.1,2.1,9.1,4.9,4.6,1560,4.1,11,5.3,14.6,20,3.3,5.1,1.2,10.3,8.5,7.4,1643,3.8,16,2.9,14.4,16.8,4.9,2.7,0.8,12.6,4.3,11.2,1644,4.8,16.4,5.1,18.9,11.7,5.9,3.1,1.2,10.7,3.1,10.7,1492,4.5,15.6,4.5,24.4,11.1,5,1.7,0.2,7.4,2,13.1
"연령별",40대,1991,5.8,9.6,6.8,11.8,24.8,5.6,5.7,1.6,6.2,6.9,5,1998,4.9,12.2,5.4,11.7,18.1,6,7.3,2.2,5.9,9.5,6.8,1885,5.2,22.1,5.4,10.9,14.9,4.1,5.1,1.1,5.2,6.2,6.6,1888,7,17.9,5.3,14.4,11.3,4.8,4.7,0.8,6,5.4,12.2,1782,5.2,19.8,5.8,19,10.6,5,2.9,0.7,4.4,2.4,11.7
"연령별",50대,1956,6.5,11.8,9.5,7.7,20.8,3.5,8.5,2.3,3.6,8.8,4.3,2007,6.6,14.1,7.4,7.9,16.3,4,8.9,2.2,2.7,12.3,5.1,1877,5.2,26,7.7,7.5,15,3.8,6.7,1.3,1.8,7.6,5.2,1858,8.4,21.7,6.8,10,10.3,3.2,5.9,1.2,2.9,6.3,10.1,1900,6.6,23.3,6.7,12.2,10.7,3,3.7,0.9,2.5,3.9,12.1
